LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,WEATHER,VEHICLE_1:_BODY_TYPE,Area,IMPACT
32.07789,130.80948,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,えびの市,7
35.6667,139.76346,車両故障,道路(その他),晴れ,リヤーエンジン,中央区,7
35.6925,139.82652,車両故障,道路(その他),晴れ,リヤーエンジン,江東区,7
35.90094,139.7381,救護違反,道路(その他),晴れ,箱型,さいたま市,7
35.83592,139.63228,飲酒等(酒気帯び),道路(自動車専用道路等),晴れ,箱型,さいたま市,9
35.46467,139.61214,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
38.19323,140.91669,車内,道路(その他),晴れ,リヤーエンジン,仙台市,5
35.92296,139.67223,車両故障,その他の場所,晴れ,リヤーエンジン,さいたま市,7
35.7422,139.54399,車両故障,道路(その他),晴れ,リヤーエンジン,西東京市,7
35.12615,136.91153,車両故障,その他の場所,晴れ,リヤーエンジン,名古屋市,7
36.3749,140.47255,車両故障,道路(その他),晴れ,リヤーエンジン,水戸市,7
35.36746,139.54713,車両故障,道路(その他),晴れ,キャブオーバ,横浜市,7
36.24965,139.11497,車両故障,その他の場所,晴れ,リヤーエンジン,児玉郡上里町,7
35.17007,136.93097,車内,その他の場所,晴れ,リヤーエンジン,名古屋市,5
35.14237,136.90189,死傷,道路(その他),晴れ,冷蔵冷凍車,名古屋市,10
35.70499,140.01883,健康起因,道路(その他),晴れ,箱型,船橋市,6
36.16357,139.89175,衝突,道路(その他),晴れ,冷蔵冷凍車,結城郡八千代町,9
35.39878,139.53925,衝突,道路(その他),晴れ,リヤーエンジン,横浜市,9
35.68909,139.35234,車両故障,その他の場所,晴れ,リヤーエンジン,八王子市,7
35.16238,136.98441,車内,その他の場所,晴れ,リヤーエンジン,名古屋市,5
43.04896,141.40024,車両故障,道路(その他),雪,リヤーエンジン,札幌市,9
38.94281,141.14676,車両故障,道路(その他),雪,ダンプ,一関市,10
35.17103,136.88199,健康起因,その他の場所,晴れ,リヤーエンジン,名古屋市,6
35.43465,139.63805,車内,道路(その他),晴れ,リヤーエンジン,横浜市,5
35.63966,139.74088,衝突,道路(その他),晴れ,ステーションワゴン,港区,8
34.68067,137.88899,健康起因,その他の場所,晴れ,リヤーエンジン,磐田市,6
40.67402,141.3669,健康起因,その他の場所,雪,キャブオーバ,三沢市,8
34.76872,137.9984,車両故障,道路(高速自動車国道),晴れ,バン,掛川市,7
34.83989,136.40247,健康起因,その他の場所,晴れ,リヤーエンジン,亀山市,6
34.81332,135.67426,衝突,道路(その他),晴れ,トラクタ,枚方市,9
43.38562,143.62729,転落,道路(その他),曇,バン,足寄郡足寄町,9
34.7565,135.52104,死傷,道路(その他),晴れ,冷蔵冷凍車,吹田市,10
32.74057,129.8688,衝突,道路(その他),晴れ,箱型,長崎市,9
35.89499,139.6246,車両故障,道路(その他),晴れ,リヤーエンジン,さいたま市,7
32.301,130.79556,衝突,道路(高速自動車国道),霧,バン,球磨郡山江村,10
32.301,130.79556,交通障害,道路(高速自動車国道),霧,バン,球磨郡山江村,9
35.16291,136.98094,健康起因,その他の場所,晴れ,リヤーエンジン,名古屋市,6
35.62612,136.07549,衝突,道路(自動車専用道路等),晴れ,トラクタ,敦賀市,9
35.05122,136.6922,衝突,道路(その他),曇,箱型,桑名市,9
37.60769,140.8616,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,南相馬市,7
35.16291,136.98094,健康起因,その他の場所,晴れ,リヤーエンジン,名古屋市,6
35.62399,139.05826,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,上野原市,7
33.44255,130.53163,車両故障,その他の場所,晴れ,リヤーエンジン,筑紫野市,7
43.02359,141.34686,車両故障,道路(その他),雪,リヤーエンジン,札幌市,9
36.75048,137.24406,衝突,道路(その他),雪,バン,富山市,10
38.81019,140.32214,衝突,道路(その他),晴れ,ダンプ,新庄市,10
35.49205,139.34578,転覆,その他の場所,晴れ,ダンプ,厚木市,10
35.70008,139.54366,車内,道路(その他),晴れ,リヤーエンジン,武蔵野市,5
34.9878,135.77586,車両故障,道路(その他),雪,リヤーエンジン,京都市,9
35.43296,139.66272,健康起因,道路(その他),晴れ,リヤーエンジン,横浜市,6
34.81826,138.26984,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,焼津市,7
34.76127,135.5489,車両故障,道路(その他),曇,リヤーエンジン,大阪市,8
36.06206,139.66684,車両故障,道路(高速自動車国道),晴れ,バン,久喜市,7
34.72084,135.52501,車両故障,道路(その他),晴れ,リヤーエンジン,大阪市,7
35.65004,139.62178,車両故障,その他の場所,晴れ,リヤーエンジン,世田谷区,7
39.28048,140.54419,車両故障,道路(高速自動車国道),晴れ,バン,横手市,7
37.13013,140.59158,転覆,道路(その他),雪,冷蔵冷凍車,石川郡古殿町,10
35.85993,139.94981,死傷,道路(その他),晴れ,箱型,柏市,10
35.67754,139.7581,救護違反,道路(その他),晴れ,箱型,千代田区,7
34.06961,136.20116,健康起因,その他の場所,晴れ,リヤーエンジン,尾鷲市,6
42.99809,141.43913,車両故障,道路(その他),晴れ,リヤーエンジン,札幌市,7
43.04762,141.37572,車内,道路(その他),晴れ,リヤーエンジン,札幌市,5
35.16105,136.90857,衝突,道路(その他),晴れ,箱型,名古屋市,9
35.59704,139.61444,車両故障,道路(その他),晴れ,リヤーエンジン,川崎市,7
42.67211,141.69928,車両故障,道路(その他),晴れ,キャブオーバ,苫小牧市,7
35.45995,139.68053,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
35.33545,139.41302,健康起因,道路(その他),晴れ,バン,茅ヶ崎市,6
35.19688,136.89645,車内,その他の場所,曇,リヤーエンジン,名古屋市,6
35.66816,139.65331,衝突,道路(その他),晴れ,幌型,世田谷区,8
35.6772,140.0139,車両故障,道路(自動車専用道路等),晴れ,バン,習志野市,7
43.02739,141.45273,死傷,道路(その他),曇,リヤーエンジン,札幌市,10
38.34982,140.98038,健康起因,道路(その他),晴れ,冷蔵冷凍車,宮城郡利府町,6
38.72523,141.51978,車両故障,道路(その他),雨,リヤーエンジン,本吉郡南三陸町,8
35.5708,139.63744,転覆,その他の場所,晴れ,キャブオーバ,川崎市,9
34.65783,137.28484,車両故障,道路(高速自動車国道),晴れ,トラクタ,神戸市,7
37.3467,140.3432,死傷,道路(その他),曇,冷蔵冷凍車,郡山市,10
35.71329,139.6129,死傷,道路(その他),晴れ,箱型,杉並区,10
34.69353,135.47665,衝突,道路(その他),曇,箱型,大阪市,9
35.85461,139.41801,車内,道路(その他),晴れ,リヤーエンジン,狭山市,5
43.10113,141.34988,車両故障,道路(その他),晴れ,リヤーエンジン,札幌市,7
35.00434,135.75299,車両故障,道路(その他),曇,リヤーエンジン,京都市,8
35.63251,139.661,死傷,道路(その他),晴れ,箱型,世田谷区,10
37.41664,140.3445,車両故障,道路(その他),曇,トラクタ,郡山市,7
36.34585,140.50671,車両故障,道路(その他),晴れ,リヤーエンジン,水戸市,7
43.06862,144.8266,転落,その他の場所,雪,ダンプ,厚岸郡厚岸町,10
35.0104,135.75143,死傷,道路(その他),晴れ,箱型,京都市,10
36.30283,137.89981,転覆,道路(その他),雨,キャブオーバ,安曇野市,10
38.20419,140.53572,車両故障,道路(高速自動車国道),雪,リヤーエンジン,柴田郡川崎町,9
39.71993,140.10251,車両故障,道路(その他),晴れ,バン,秋田市,7
34.76548,137.95245,危険物等,道路(自動車専用道路等),晴れ,キャブオーバ,袋井市,10
35.25096,136.97459,死傷,道路(その他),晴れ,バン,春日井市,10
42.78392,141.69594,車両故障,道路(その他),曇,リヤーエンジン,千歳市,8
35.7499,139.76682,衝突,道路(その他),晴れ,バン,荒川区,9
43.01205,141.56532,車両故障,道路(高速自動車国道),雪,リヤーエンジン,北広島市,9
35.36973,139.59331,衝突,道路(その他),晴れ,キャブオーバ,横浜市,9
34.98904,135.759,車両故障,道路(その他),晴れ,リヤーエンジン,京都市,7
35.34985,136.66585,転落,道路(その他),晴れ,バン,安八郡安八町,9
36.04559,139.35823,健康起因,道路(その他),晴れ,リヤーエンジン,比企郡滑川町,6
34.82876,135.25008,衝突,道路(その他),晴れ,キャブオーバ,西宮市,9
35.85138,139.74982,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,川口市,7
