調査年 コード,調査年,地域 コード,地域,/項目,A6103_流出人口（県内他市区町村で従業・通学している人口）【人】,注釈,lat,lon,市町村
2020100000,2020年度,2208,青森県 むつ市,,"2,505",,41.293053,141.18306,むつ市
2020100000,2020年度,2209,青森県 つがる市,,"5,270",,40.808739,140.380188,つがる市
2020100000,2020年度,2210,青森県 平川市,,"8,134",,40.58374,140.567123,平川市
2020100000,2020年度,2301,青森県 平内町,,"1,596",,40.926052,140.955933,平内町
2020100000,2020年度,2303,青森県 今別町,,221,,41.181942,140.481674,今別町
2020100000,2020年度,2304,青森県 蓬田村,,583,,40.971779,140.656052,蓬田村
2020100000,2020年度,2307,青森県 外ヶ浜町,,602,,41.043259,140.632431,外ヶ浜町
2020100000,2020年度,2321,青森県 鰺ヶ沢町,,"1,278",,40.783012,140.233902,鰺ヶ沢町
2020100000,2020年度,2323,青森県 深浦町,,434,,40.647888,139.927597,深浦町
2020100000,2020年度,2343,青森県 西目屋村,,345,,40.577484,140.297318,西目屋村
2020100000,2020年度,2361,青森県 藤崎町,,"4,859",,40.656055,140.502838,藤崎町
2020100000,2020年度,2362,青森県 大鰐町,,"2,287",,40.51833,140.56778,大鰐町
2020100000,2020年度,2367,青森県 田舎館村,,"2,604",,40.631233,140.550201,田舎館村
2020100000,2020年度,2381,青森県 板柳町,,"3,067",,40.695953,140.457703,板柳町
2020100000,2020年度,2384,青森県 鶴田町,,"2,825",,40.758774,140.428711,鶴田町
2020100000,2020年度,2387,青森県 中泊町,,"1,422",,40.960415,140.434036,中泊町
2020100000,2020年度,2401,青森県 野辺地町,,"2,198",,40.864388,141.12793,野辺地町
2020100000,2020年度,2402,青森県 七戸町,,"2,848",,40.744717,141.157776,七戸町
2020100000,2020年度,2405,青森県 六戸町,,"3,347",,40.609505,141.324982,六戸町
2020100000,2020年度,2406,青森県 横浜町,,700,,41.083328,141.247498,横浜町
2020100000,2020年度,2408,青森県 東北町,,"3,519",,40.727947,141.257736,東北町
2020100000,2020年度,2411,青森県 六ヶ所村,,383,,40.967293,141.374634,六ヶ所村
2020100000,2020年度,2412,青森県 おいらせ町,,"7,765",,40.59922,141.397736,おいらせ町
2020100000,2020年度,2423,青森県 大間町,,191,,41.522388,140.904831,大間町
2020100000,2020年度,2424,青森県 東通村,,"1,015",,41.277725,141.329041,東通村
2020100000,2020年度,2425,青森県 風間浦村,,306,,41.487576,140.995728,風間浦村
2020100000,2020年度,2426,青森県 佐井村,,170,,41.429718,140.859177,佐井村
2020100000,2020年度,2441,青森県 三戸町,,"1,311",,40.378445,141.258743,三戸町
2020100000,2020年度,2442,青森県 五戸町,,"3,918",,40.531105,141.307785,五戸町
2020100000,2020年度,2443,青森県 田子町,,658,,40.340092,141.152206,田子町
2020100000,2020年度,2445,青森県 南部町,,"4,133",,40.420341,141.330307,南部町
2020100000,2020年度,2446,青森県 階上町,,"4,150",,40.452396,141.621094,階上町
2020100000,2020年度,2450,青森県 新郷村,,376,,40.465828,141.17334,新郷村
2020100000,2020年度,3201,岩手県 盛岡市,,"25,077",,39.702068,141.154465,盛岡市
2020100000,2020年度,3202,岩手県 宮古市,,"1,662",,39.639553,141.946121,宮古市
2020100000,2020年度,3203,岩手県 大船渡市,,"2,059",,39.081863,141.708481,大船渡市
2020100000,2020年度,3205,岩手県 花巻市,,"12,553",,39.388611,141.116898,花巻市
2020100000,2020年度,3206,岩手県 北上市,,"10,067",,39.286774,141.113235,北上市
2020100000,2020年度,3207,岩手県 久慈市,,"1,393",,40.190449,141.77565,久慈市
2020100000,2020年度,3208,岩手県 遠野市,,"1,905",,39.330688,141.531387,遠野市
2020100000,2020年度,3209,岩手県 一関市,,"4,247",,38.934711,141.126648,一関市
2020100000,2020年度,3210,岩手県 陸前高田市,,"2,590",,39.020378,141.633194,陸前高田市
2020100000,2020年度,3211,岩手県 釜石市,,"1,247",,39.275837,141.885666,釜石市
2020100000,2020年度,3213,岩手県 二戸市,,"2,253",,40.271206,141.30481,二戸市
2020100000,2020年度,3214,岩手県 八幡平市,,"3,370",,39.956532,141.071243,八幡平市
2020100000,2020年度,3215,岩手県 奥州市,,"11,407",,39.14447,141.139084,奥州市
2020100000,2020年度,3216,岩手県 滝沢市,,"18,312",,39.73476,141.077057,滝沢市
2020100000,2020年度,3301,岩手県 雫石町,,"3,568",,39.696255,140.975739,雫石町
2020100000,2020年度,3302,岩手県 葛巻町,,507,,40.039959,141.437881,葛巻町
2020100000,2020年度,3303,岩手県 岩手町,,"2,585",,39.972569,141.21257,岩手町
2020100000,2020年度,3321,岩手県 紫波町,,"9,830",,39.554543,141.155716,紫波町
2020100000,2020年度,3322,岩手県 矢巾町,,"8,276",,39.605988,141.143021,矢巾町
2020100000,2020年度,3366,岩手県 西和賀町,,373,,39.31797,140.778946,西和賀町
2020100000,2020年度,3381,岩手県 金ケ崎町,,"4,106",,39.195747,141.116333,金ケ崎町
2020100000,2020年度,3402,岩手県 平泉町,,"2,145",,38.986588,141.113846,平泉町
2020100000,2020年度,3441,岩手県 住田町,,940,,39.14217,141.574997,住田町
2020100000,2020年度,3461,岩手県 大槌町,,"2,095",,39.358234,141.89949,大槌町
2020100000,2020年度,3482,岩手県 山田町,,"2,318",,39.467571,141.949066,山田町
2020100000,2020年度,3483,岩手県 岩泉町,,416,,39.843109,141.796417,岩泉町
2020100000,2020年度,3484,岩手県 田野畑村,,408,,39.930458,141.88887,田野畑村
2020100000,2020年度,3485,岩手県 普代村,,365,,40.005268,141.886124,普代村
2020100000,2020年度,3501,岩手県 軽米町,,882,,40.326687,141.460327,軽米町
2020100000,2020年度,3503,岩手県 野田村,,833,,40.110306,141.81778,野田村
2020100000,2020年度,3506,岩手県 九戸村,,774,,40.21138,141.4189,九戸村
2020100000,2020年度,3507,岩手県 洋野町,,"1,333",,40.408283,141.718643,洋野町
2020100000,2020年度,3524,岩手県 一戸町,,"1,733",,40.213001,141.295486,一戸町
2020100000,2020年度,4100,宮城県 仙台市,,"244,484",,38.268162,140.869507,仙台市
2020100000,2020年度,4101,宮城県 仙台市 青葉区,,"40,181",,38.26907,140.870468,仙台市 青葉区
2020100000,2020年度,4102,宮城県 仙台市 宮城野区,,"47,346",,38.266228,140.909973,仙台市 宮城野区
2020100000,2020年度,4103,宮城県 仙台市 若林区,,"37,810",,38.24416,140.900864,仙台市 若林区
2020100000,2020年度,4104,宮城県 仙台市 太白区,,"63,999",,38.224354,140.877167,仙台市 太白区
