stat_type,key,accident_count
municipality,埼玉県児玉郡上里町,1
municipality,堺市,93
municipality,塩尻市,17
municipality,塩竈市,6
municipality,塩谷郡塩谷町,3
municipality,塩釜市,4
municipality,増毛郡増毛町,1
municipality,墨田区,47
municipality,士別市,5
municipality,壱岐市,2
municipality,夕張市,7
municipality,夕張郡富野...,1
municipality,夕張郡栗山町,5
municipality,夕張郡由仁町,3
municipality,夕張郡長沼町,13
municipality,外環自動車...,1
municipality,多久市,7
municipality,多摩区,1
municipality,多摩市,65
municipality,多摩郡日の出町,1
municipality,多気郡多気町,3
municipality,多気郡大台町,3
municipality,多治見市,15
municipality,多賀城市,5
municipality,多野郡神流町,1
municipality,大仙市,17
municipality,大分市,45
municipality,大口町,1
municipality,大和市,23
municipality,大和郡山市,2
municipality,大和高田市,1
municipality,大垣市,13
municipality,大字市,1
municipality,大島郡徳之島町,2
municipality,大島郡瀬戸内町,1
municipality,大島郡知名町,1
municipality,大崎市,55
municipality,大府市,15
municipality,大月市,29
municipality,大月笹子黒...,1
municipality,大村,8
municipality,大東市,8
municipality,大沼郡会津美里町,4
municipality,大沼郡昭和村,2
municipality,大沼郡金山町,4
municipality,大津市,56
municipality,大牟田市,1
municipality,大田区,137
municipality,大田原市,7
municipality,大田市,3
municipality,大田田園調...,1
municipality,大町,8
municipality,大空町,1
municipality,大網市,1
municipality,大網白里南...,1
municipality,大網白里市,4
municipality,大舘市,1
municipality,大船渡市,7
municipality,大里郡寄居町,5
municipality,大野市,4
municipality,大野郡白川村,8
municipality,大野郡白川町,1
municipality,大阪市,741
municipality,大阪狭山市,1
municipality,大飯群　おおい町,1
municipality,大飯郡高浜町,5
municipality,大館市,11
municipality,天塩郡天塩町,1
municipality,天塩郡幌延町,5
municipality,天塩郡豊富町,2
municipality,天塩郡遠別町,1
municipality,天理市,5
municipality,天童市,4
municipality,天草市,3
municipality,太宰府市,2
municipality,太田市,29
municipality,太白区,2
municipality,夷隅市,1
municipality,夷隅郡大多喜町,1
municipality,奄美市,2
municipality,奈良市,9
municipality,奥州市,21
municipality,妙高市,7
municipality,姫路市,13
municipality,姶良市,14
municipality,姶良郡湧水町,2
municipality,嬉野市,3
municipality,嬉野町,1
municipality,宇佐市,5
municipality,宇土市,3
municipality,宇城市,9
municipality,宇治市,7
municipality,宇部市,1
municipality,宇都宮市,96
municipality,宇陀市,1
municipality,守口市,17
municipality,守山市,4
municipality,守谷市,11
municipality,安中市,38
municipality,安八郡安八町,6
municipality,安八郡輪之内町,1
municipality,安城市,13
municipality,安房郡鋸南町,3
municipality,安房鋸南町,1
municipality,安曇野市,9
municipality,安芸市,1
municipality,安芸高田市,1
municipality,安達太良郡大玉村,1
municipality,安達郡大玉村,1
municipality,宍粟市,1
municipality,宗像市,1
municipality,宗谷郡猿払村,2
municipality,宜野座村,1
municipality,宜野湾市,6
municipality,宝塚市,8
municipality,室蘭市,11
municipality,宮古島市,2
municipality,宮古市,4
municipality,宮城県大崎市,1
municipality,宮城県宮城郡利府町,1
municipality,宮城郡利府町,8
municipality,宮城郡松島町,10
municipality,宮城野区,1
municipality,宮崎市,30
municipality,宮崎県日南市,1
municipality,宮崎県西臼杵郡日之影町,1
municipality,宮津市,7
municipality,宮若市,1
municipality,富士吉田市,5
municipality,富士宮市,16
municipality,富士宮青木...,1
municipality,富士市,46
municipality,富士見市,2
municipality,富山市,50
municipality,富山県安養...,1
municipality,富岡市,4
municipality,富津市,5
municipality,富田林市,8
municipality,富良野市,8
municipality,富良野郡富良野市,1
municipality,富谷市,9
municipality,富里市,12
municipality,寒河江市,3
municipality,寝屋川市,14
municipality,寿都郡寿都町,2
municipality,寿都郡黒松前町,1
municipality,射水市,11
municipality,小千谷　関...,1
municipality,小千谷市,4
municipality,小城市,3
municipality,小山市,18
municipality,小平上水南町,1
municipality,小平市,33
municipality,小松市,28
municipality,小林市,4
municipality,小樽市,81
municipality,小浜市,8
municipality,小牧市,31
municipality,小田原市,44
municipality,小県郡長和町,1
municipality,小矢部区,1
municipality,小矢部市,13
municipality,小美玉市,8
municipality,小諸市,6
municipality,小谷村,2
municipality,小郡市,3
municipality,小金井市,22
municipality,尼崎市,19
municipality,尾張旭市,3
municipality,尾花沢市,7
municipality,尾道市,6
municipality,尾鷲市,2
municipality,山口市,6
municipality,山形市,32
municipality,山本郡三種町,4
municipality,山梨市,6
municipality,山梨県上野原市,3
municipality,山梨県北杜市,2
municipality,山梨県甲州市,2
municipality,山梨県甲斐市,1
municipality,山武市,6
municipality,山武郡九十九里町,1
municipality,山武郡横芝光町,2
municipality,山武郡芝山町,4
municipality,山県市,4
municipality,山県郡北広島町,1
municipality,山科区,2
municipality,山科市,1
municipality,山越郡長万部町,5
municipality,山辺郡山添村,6
municipality,山陽小野田市,1
municipality,山陽道　三...,1
municipality,山鹿市,3
municipality,岐阜市,19
municipality,岐阜県土岐市,1
municipality,岐阜県瑞浪市,1
municipality,岐阜県羽島市,1
municipality,岡山市,12
municipality,岡崎インタ...,1
municipality,岡崎市,54
municipality,岡谷市,5
municipality,岩倉市,5
municipality,岩内郡共和町,11
municipality,岩内郡岩内町,2
municipality,岩出市,1
municipality,岩国市,9
municipality,岩手県二戸市,1
municipality,岩手県盛岡市,1
municipality,岩手郡岩手町,5
municipality,岩手郡雫石町,2
municipality,岩槻区,1
municipality,岩沼市,10
municipality,岩瀬郡天栄村,1
municipality,岩瀬郡鏡石町,8
municipality,岩船郡関川村,3
municipality,岩見沢市,31
municipality,岩見沢栗沢町,1
municipality,岸和田市,6
municipality,島原市,3
municipality,島尻郡八重瀬町,1
municipality,島尻郡南風原町,2
municipality,島田市,12
municipality,川上郡標茶町,3
municipality,川上郡比布町,1
municipality,川上郡美瑛町,2
municipality,川口市,132
municipality,川崎区,1
municipality,川崎市,372
municipality,川崎氏川崎区,1
municipality,川市,1
municipality,川西市,5
municipality,川越市,58
municipality,川辺郡猪名川町,1
municipality,川辺郡神戸市,1
municipality,川�ｱ市,1
municipality,左京区,4
municipality,市原市,25
municipality,市川市,65
municipality,帯広市,24
municipality,常呂郡佐呂間町,2
municipality,常呂郡置戸町,1
municipality,常呂郡訓子府町,3
municipality,常滑市,5
municipality,常総市,8
municipality,常陸大宮市,13
municipality,常陸太田市,38
municipality,幌泉群えりも町,2
municipality,幌泉郡えりも町,2
municipality,平塚市,27
municipality,平川市,6
municipality,平戸市,2
municipality,幸区,1
municipality,幸手市,10
municipality,広尾郡大樹町,1
municipality,広尾郡広尾町,2
municipality,広島市,7
municipality,庄原市,4
municipality,府中市,52
municipality,度会郡南伊勢町,1
municipality,度会郡大紀町,1
municipality,度会郡玉城町,1
municipality,座間市,11
municipality,延岡市,9
municipality,廿日市,3
municipality,弘前市,13
municipality,弘前氏中野...,1
municipality,弥冨市,1
municipality,弥富市,8
municipality,彦根市,9
municipality,御前崎市,3
municipality,御所市,1
municipality,御殿場市,40
municipality,御殿場深沢...,1
municipality,志布志市,2
municipality,志摩市,3
municipality,志木市,8
municipality,恵庭市,18
municipality,恵那区,1
municipality,恵那市,11
municipality,愛甲郡愛川町,7
municipality,愛知市,1
municipality,愛知県名古屋市,2
municipality,愛知県瀬戸...,1
municipality,愛知県豊橋市,1
municipality,愛知県豊田市,2
municipality,愛知県長久手市,1
municipality,愛知郡愛壮町,1
municipality,愛知郡愛荘町,3
municipality,愛西市,5
municipality,成田市,42
municipality,我孫子市,7
municipality,戸塚区,2
municipality,戸田市,31
municipality,所沢市,63
municipality,手稲区,1
