"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","03209","岩手県 一関市","","4,247",""
"2020100000","2020年度","03210","岩手県 陸前高田市","","2,590",""
"2020100000","2020年度","03211","岩手県 釜石市","","1,247",""
"2020100000","2020年度","03213","岩手県 二戸市","","2,253",""
"2020100000","2020年度","03214","岩手県 八幡平市","","3,370",""
"2020100000","2020年度","03215","岩手県 奥州市","","11,407",""
"2020100000","2020年度","03216","岩手県 滝沢市","","18,312",""
"2020100000","2020年度","03301","岩手県 雫石町","","3,568",""
"2020100000","2020年度","03302","岩手県 葛巻町","","507",""
"2020100000","2020年度","03303","岩手県 岩手町","","2,585",""
"2020100000","2020年度","03321","岩手県 紫波町","","9,830",""
"2020100000","2020年度","03322","岩手県 矢巾町","","8,276",""
"2020100000","2020年度","03366","岩手県 西和賀町","","373",""
"2020100000","2020年度","03381","岩手県 金ケ崎町","","4,106",""
"2020100000","2020年度","03402","岩手県 平泉町","","2,145",""
"2020100000","2020年度","03441","岩手県 住田町","","940",""
"2020100000","2020年度","03461","岩手県 大槌町","","2,095",""
"2020100000","2020年度","03482","岩手県 山田町","","2,318",""
"2020100000","2020年度","03483","岩手県 岩泉町","","416",""
"2020100000","2020年度","03484","岩手県 田野畑村","","408",""
"2020100000","2020年度","03485","岩手県 普代村","","365",""
"2020100000","2020年度","03501","岩手県 軽米町","","882",""
"2020100000","2020年度","03503","岩手県 野田村","","833",""
"2020100000","2020年度","03506","岩手県 九戸村","","774",""
"2020100000","2020年度","03507","岩手県 洋野町","","1,333",""
"2020100000","2020年度","03524","岩手県 一戸町","","1,733",""
"2020100000","2020年度","04100","宮城県 仙台市","","244,484",""
"2020100000","2020年度","04101","宮城県 仙台市 青葉区","","40,181",""
"2020100000","2020年度","04102","宮城県 仙台市 宮城野区","","47,346",""
"2020100000","2020年度","04103","宮城県 仙台市 若林区","","37,810",""
"2020100000","2020年度","04104","宮城県 仙台市 太白区","","63,999",""
"2020100000","2020年度","04105","宮城県 仙台市 泉区","","55,148",""
"2020100000","2020年度","04202","宮城県 石巻市","","12,057",""
"2020100000","2020年度","04203","宮城県 塩竈市","","14,569",""
"2020100000","2020年度","04205","宮城県 気仙沼市","","970",""
"2020100000","2020年度","04206","宮城県 白石市","","5,400",""
"2020100000","2020年度","04207","宮城県 名取市","","23,416",""
"2020100000","2020年度","04208","宮城県 角田市","","5,862",""
"2020100000","2020年度","04209","宮城県 多賀城市","","19,213",""
"2020100000","2020年度","04211","宮城県 岩沼市","","12,035",""
"2020100000","2020年度","04212","宮城県 登米市","","8,741",""
"2020100000","2020年度","04213","宮城県 栗原市","","6,052",""
"2020100000","2020年度","04214","宮城県 東松島市","","10,766",""
"2020100000","2020年度","04215","宮城県 大崎市","","20,001",""
"2020100000","2020年度","04216","宮城県 富谷市","","19,528",""
"2020100000","2020年度","04301","宮城県 蔵王町","","2,920",""
"2020100000","2020年度","04302","宮城県 七ヶ宿町","","113",""
"2020100000","2020年度","04321","宮城県 大河原町","","7,369",""
"2020100000","2020年度","04322","宮城県 村田町","","3,219",""
"2020100000","2020年度","04323","宮城県 柴田町","","11,525",""
"2020100000","2020年度","04324","宮城県 川崎町","","1,842",""
"2020100000","2020年度","04341","宮城県 丸森町","","2,317",""
"2020100000","2020年度","04361","宮城県 亘理町","","9,691",""
"2020100000","2020年度","04362","宮城県 山元町","","2,545",""
"2020100000","2020年度","04401","宮城県 松島町","","3,938",""
"2020100000","2020年度","04404","宮城県 七ヶ浜町","","7,153",""
"2020100000","2020年度","04406","宮城県 利府町","","12,665",""
"2020100000","2020年度","04421","宮城県 大和町","","8,064",""
"2020100000","2020年度","04422","宮城県 大郷町","","2,235",""
"2020100000","2020年度","04424","宮城県 大衡村","","1,696",""
"2020100000","2020年度","04444","宮城県 色麻町","","2,022",""
"2020100000","2020年度","04445","宮城県 加美町","","4,889",""
"2020100000","2020年度","04501","宮城県 涌谷町","","4,223",""
"2020100000","2020年度","04505","宮城県 美里町","","7,340",""
"2020100000","2020年度","04581","宮城県 女川町","","836",""
"2020100000","2020年度","04606","宮城県 南三陸町","","1,319",""
"2020100000","2020年度","05201","秋田県 秋田市","","7,626",""
"2020100000","2020年度","05202","秋田県 能代市","","3,028",""
"2020100000","2020年度","05203","秋田県 横手市","","6,663",""
"2020100000","2020年度","05204","秋田県 大館市","","2,368",""
"2020100000","2020年度","05206","秋田県 男鹿市","","3,477",""
"2020100000","2020年度","05207","秋田県 湯沢市","","4,557",""
"2020100000","2020年度","05209","秋田県 鹿角市","","2,123",""
"2020100000","2020年度","05210","秋田県 由利本荘市","","5,658",""
"2020100000","2020年度","05211","秋田県 潟上市","","9,016",""
"2020100000","2020年度","05212","秋田県 大仙市","","8,925",""
"2020100000","2020年度","05213","秋田県 北秋田市","","2,529",""
"2020100000","2020年度","05214","秋田県 にかほ市","","3,088",""
"2020100000","2020年度","05215","秋田県 仙北市","","2,421",""
"2020100000","2020年度","05303","秋田県 小坂町","","828",""
"2020100000","2020年度","05327","秋田県 上小阿仁村","","337",""
"2020100000","2020年度","05346","秋田県 藤里町","","629",""
"2020100000","2020年度","05348","秋田県 三種町","","3,058",""
"2020100000","2020年度","05349","秋田県 八峰町","","1,389",""
"2020100000","2020年度","05361","秋田県 五城目町","","1,921",""
"2020100000","2020年度","05363","秋田県 八郎潟町","","1,616",""
"2020100000","2020年度","05366","秋田県 井川町","","1,420",""
"2020100000","2020年度","05368","秋田県 大潟村","","380",""
"2020100000","2020年度","05434","秋田県 美郷町","","4,971",""
"2020100000","2020年度","05463","秋田県 羽後町","","2,949",""
"2020100000","2020年度","05464","秋田県 東成瀬村","","607",""
"2020100000","2020年度","06201","山形県 山形市","","18,662",""
"2020100000","2020年度","06202","山形県 米沢市","","4,421",""
"2020100000","2020年度","06203","山形県 鶴岡市","","6,517",""
"2020100000","2020年度","06204","山形県 酒田市","","7,183",""
