OCCURRENCE_DATE_AND_TIME,WEATHER,LOCATION,LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,SPEED_LIMIT_ON_ROAD,VEHICLE_BEHAVIOR_AT_ACCIDENT,ACCIDENT_LOCATION,VEHICLE_1:_BODY_TYPE,Area
2019-01-14 22:10:00,晴れ,川口市安行領根岸１９２０　川２３系統　南浦和前川通り,35.84628,139.71913,車両故障,道路(その他),30.0,停車,バス停留所,リヤーエンジン,川口市
2019-01-14 22:42:00,晴れ,富谷市富谷原前南１４０,38.39335,140.90082,衝突,道路(高速自動車国道),80.0,直進(加速),車道,バン,富谷市
2019-01-15 00:20:00,晴れ,鳴門市瀬戸町堂浦,34.21944,134.58005,死傷,道路(その他),50.0,直進(定速),車道,バン,鳴門市
2019-01-15 05:55:00,晴れ,横浜市神奈川区神奈川２丁目１０−７,35.47335,139.63388,車両故障,道路(その他),60.0,停車,車道,リヤーエンジン,横浜市
2019-01-15 07:00:00,晴れ,京都市西京区川島調子町,34.97308,135.69829,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,京都市
2019-01-15 08:50:00,晴れ,上水内郡信濃町柏原３８０番地,36.8068,138.20522,車内,その他の場所,,停車,その他,その他,上水内郡信濃町
2019-01-15 10:40:00,晴れ,北蒲原郡聖篭町東港町１丁目,37.99869,139.23958,死傷,道路(その他),60.0,直進(定速),車道,ダンプ,北蒲原郡聖篭町
2019-01-15 11:05:00,曇,新城市作手善夫コウザ,35.02543,137.44717,転落,道路(その他),50.0,直進(加速),路肩,リヤーエンジン,新城市
2019-01-15 11:10:00,晴れ,九戸郡洋野町１８,40.4083,141.71864,衝突,道路(その他),50.0,直進(定速),車道,ダンプ,九戸郡洋野町
2019-01-15 12:25:00,晴れ,入間市宮寺２４１７　病院内,35.79454,139.37842,健康起因,その他の場所,,その他,その他,箱型,入間市
2019-01-15 14:55:00,雨,旭市萬歳３９３番地３地先,35.77414,140.65288,衝突,道路(その他),40.0,直進(定速),車道,リヤーエンジン,旭市
2019-01-15 15:10:00,晴れ,葛飾区新小岩２−７−１　都道３０８号線,35.71655,139.86011,死傷,道路(その他),30.0,右折,横断歩道,キャブオーバ,葛飾区
2019-01-15 16:00:00,晴れ,伊達市保原町上保原字大久保,37.80405,140.5226,衝突,道路(その他),50.0,直進(定速),車道,リヤーエンジン,伊達市
2019-01-15 16:50:00,晴れ,港区高輪１−１,35.64464,139.73558,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,港区
2019-01-15 18:07:00,晴れ,釧路市川上町６丁目１番地,42.98558,144.38872,衝突,道路(その他),40.0,右折,交差点,リヤーエンジン,釧路市
2019-01-15 20:20:00,曇,柴田郡村田町菅生字新堀２８,38.16736,140.7664,車両故障,道路(高速自動車国道),100.0,直進(定速),車道,リヤーエンジン,柴田郡村
2019-01-16 00:34:00,晴れ,葛飾区小岩３−１,35.75423,139.81711,衝突,道路(自動車専用道路等),60.0,直進(減速),車道,箱型,葛飾区
2019-01-16 03:10:00,晴れ,那須塩原市西原町１１６−４２５,36.88884,139.97571,健康起因,道路(その他),50.0,直進(定速),車道,バン,那須塩原市
2019-01-16 07:10:00,晴れ,鹿屋市串良町下小原３２１４,31.38366,130.94058,衝突,道路(その他),50.0,直進(定速),車道,ダンプ,鹿屋市
2019-01-16 09:28:00,晴れ,名古屋市熱田区旗屋町２丁目８−１,35.12955,136.90604,死傷,道路(その他),50.0,直進(定速),車道,冷蔵冷凍車,名古屋市
2019-01-16 10:16:00,晴れ,吹田市岸部北５丁目２０番３号先路上,34.78559,135.53491,衝突,道路(その他),50.0,右折,交差点,冷蔵冷凍車,吹田市
2019-01-16 13:16:00,雪,上川郡　上川町　日東,43.84039,142.83621,転落,道路(その他),60.0,追越,車道,リヤーエンジン,上川郡　上川町
2019-01-16 14:40:00,晴れ,豊島区西池袋１−１５,35.73049,139.70964,健康起因,その他の場所,,駐車,その他,リヤーエンジン,豊島区
2019-01-16 15:12:00,晴れ,千代田区丸の内１−７,35.6835,139.76794,車両故障,道路(その他),60.0,直進(加速),車道,リヤーエンジン,千代田区
2019-01-16 15:35:00,曇,亀山市安坂山町　新名神高速道路上り　鈴鹿トンネル出口３０．２ｋＰ,34.92763,136.4012,交通障害,道路(高速自動車国道),50.0,直進(減速),車道,リヤーエンジン,亀山市
2019-01-16 17:30:00,曇,笠間市友部駅前町地内,36.3503,140.30772,車両故障,その他の場所,,駐車,バス停留所,リヤーエンジン,笠間市
2019-01-16 18:01:00,晴れ,渋谷区神山町３８,35.6653,139.69147,死傷,道路(その他),30.0,右折,車道,箱型,渋谷区
2019-01-16 19:45:00,晴れ,静岡市清水区天王南,35.02756,138.46361,衝突,道路(その他),50.0,右折,車道,箱型,静岡市
2019-01-17 00:30:00,雨,三方上中郡若狭町相田４４−２−１,35.52485,135.91014,衝突,道路(その他),60.0,直進(減速),車道,トラクタ,三方上中郡若狭町
2019-01-17 11:14:00,晴れ,小田原市栄区１−１−７番地,35.25423,139.15648,車両故障,その他の場所,,停車,その他,リヤーエンジン,小田原市
2019-01-17 11:48:00,晴れ,大津市本堅田四丁目１５−６,35.11927,135.91756,車両故障,道路(その他),40.0,右折,車道,リヤーエンジン,大津市
